episode:0 	| reward:0.28 	| took:1.13s 	| avrege:0.28 	| loss:(actor:-3.76, critic:0.98)
episode:106 	| reward:0.33 	| took:1.30s 	| avrege:0.47 	| loss:(actor:-0.43, critic:0.01)
episode:107 	| reward:0.31 	| took:1.20s 	| avrege:0.48 	| loss:(actor:-0.95, critic:0.01)
episode:108 	| reward:0.31 	| took:1.23s 	| avrege:0.48 	| loss:(actor:-0.43, critic:0.02)
episode:109 	| reward:0.36 	| took:1.41s 	| avrege:0.48 	| loss:(actor:-0.80, critic:0.02)
episode:110 	| reward:0.41 	| took:1.48s 	| avrege:0.48 	| loss:(actor:-1.01, critic:0.01)
episode:111 	| reward:0.38 	| took:1.39s 	| avrege:0.48 	| loss:(actor:-0.75, critic:0.00)
episode:112 	| reward:0.45 	| took:1.61s 	| avrege:0.48 	| loss:(actor:-0.84, critic:0.11)
episode:113 	| reward:0.36 	| took:1.31s 	| avrege:0.48 	| loss:(actor:-0.55, critic:0.01)
episode:114 	| reward:0.44 	| took:1.80s 	| avrege:0.48 	| loss:(actor:-0.67, critic:0.00)
episode:115 	| reward:0.45 	| took:1.73s 	| avrege:0.49 	| loss:(actor:-0.87, critic:0.00)
episode:116 	| reward:0.45 	| took:1.72s 	| avrege:0.49 	| loss:(actor:-1.00, critic:0.05)
episode:117 	| reward:0.46 	| took:1.69s 	| avrege:0.49 	| loss:(actor:-0.95, critic:0.02)
episode:118 	| reward:0.28 	| took:1.18s 	| avrege:0.49 	| loss:(actor:-0.55, critic:0.00)
episode:119 	| reward:0.21 	| took:1.01s 	| avrege:0.49 	| loss:(actor:-1.14, critic:0.00)
episode:120 	| reward:0.45 	| took:1.67s 	| avrege:0.49 	| loss:(actor:-1.01, critic:0.00)
episode:121 	| reward:0.34 	| took:1.55s 	| avrege:0.49 	| loss:(actor:-1.33, critic:0.00)
episode:122 	| reward:0.46 	| took:1.86s 	| avrege:0.49 	| loss:(actor:-0.78, critic:0.01)
episode:123 	| reward:0.46 	| took:1.83s 	| avrege:0.49 	| loss:(actor:-0.65, critic:0.00)
episode:124 	| reward:0.41 	| took:1.52s 	| avrege:0.50 	| loss:(actor:-1.08, critic:0.05)
episode:125 	| reward:0.44 	| took:1.57s 	| avrege:0.50 	| loss:(actor:-1.24, critic:0.00)
episode:126 	| reward:0.41 	| took:1.57s 	| avrege:0.50 	| loss:(actor:-0.61, critic:0.00)
episode:127 	| reward:0.40 	| took:1.48s 	| avrege:0.50 	| loss:(actor:-0.65, critic:0.00)
episode:128 	| reward:0.45 	| took:1.72s 	| avrege:0.50 	| loss:(actor:-0.57, critic:0.00)
episode:129 	| reward:0.43 	| took:1.51s 	| avrege:0.50 	| loss:(actor:-0.81, critic:0.00)
episode:130 	| reward:0.42 	| took:1.51s 	| avrege:0.50 	| loss:(actor:-1.23, critic:0.00)
episode:131 	| reward:0.42 	| took:1.50s 	| avrege:0.51 	| loss:(actor:-0.89, critic:0.00)
episode:132 	| reward:0.40 	| took:1.45s 	| avrege:0.51 	| loss:(actor:-0.90, critic:0.00)
episode:133 	| reward:0.47 	| took:1.70s 	| avrege:0.51 	| loss:(actor:-0.84, critic:0.01)
episode:134 	| reward:0.47 	| took:1.74s 	| avrege:0.51 	| loss:(actor:-0.82, critic:0.00)
episode:135 	| reward:0.48 	| took:1.95s 	| avrege:0.51 	| loss:(actor:-1.11, critic:0.01)
episode:136 	| reward:0.44 	| took:1.73s 	| avrege:0.52 	| loss:(actor:-1.15, critic:0.00)
episode:137 	| reward:0.39 	| took:1.48s 	| avrege:0.52 	| loss:(actor:-0.86, critic:0.01)
episode:138 	| reward:0.39 	| took:1.52s 	| avrege:0.52 	| loss:(actor:-0.91, critic:0.00)
episode:139 	| reward:0.39 	| took:1.58s 	| avrege:0.52 	| loss:(actor:-0.48, critic:0.02)
episode:140 	| reward:0.43 	| took:1.75s 	| avrege:0.52 	| loss:(actor:-0.86, critic:0.00)
episode:141 	| reward:0.49 	| took:2.16s 	| avrege:0.52 	| loss:(actor:-0.93, critic:0.00)
episode:142 	| reward:0.43 	| took:1.66s 	| avrege:0.52 	| loss:(actor:-0.88, critic:0.00)
episode:143 	| reward:0.36 	| took:1.47s 	| avrege:0.53 	| loss:(actor:-1.20, critic:0.04)
episode:144 	| reward:0.49 	| took:1.76s 	| avrege:0.53 	| loss:(actor:-0.96, critic:0.00)
episode:145 	| reward:0.47 	| took:1.80s 	| avrege:0.53 	| loss:(actor:-1.11, critic:0.00)
episode:146 	| reward:0.53 	| took:1.91s 	| avrege:0.53 	| loss:(actor:-1.14, critic:0.00)
episode:147 	| reward:0.56 	| took:2.07s 	| avrege:0.53 	| loss:(actor:-1.18, critic:0.01)
episode:148 	| reward:0.47 	| took:2.01s 	| avrege:0.54 	| loss:(actor:-1.00, critic:0.02)
episode:149 	| reward:0.31 	| took:1.39s 	| avrege:0.54 	| loss:(actor:-1.23, critic:0.00)
episode:150 	| reward:0.49 	| took:1.99s 	| avrege:0.54 	| loss:(actor:-1.08, critic:0.00)
episode:151 	| reward:0.33 	| took:1.38s 	| avrege:0.54 	| loss:(actor:-1.03, critic:0.05)
episode:152 	| reward:0.44 	| took:1.75s 	| avrege:0.54 	| loss:(actor:-0.88, critic:0.01)
episode:153 	| reward:0.48 	| took:1.72s 	| avrege:0.54 	| loss:(actor:-0.73, critic:0.00)
episode:154 	| reward:0.46 	| took:1.69s 	| avrege:0.55 	| loss:(actor:-0.79, critic:0.01)
episode:155 	| reward:0.61 	| took:2.22s 	| avrege:0.55 	| loss:(actor:-1.05, critic:0.00)
episode:156 	| reward:0.60 	| took:2.11s 	| avrege:0.55 	| loss:(actor:-0.83, critic:0.01)
episode:157 	| reward:0.54 	| took:2.04s 	| avrege:0.55 	| loss:(actor:-1.10, critic:0.00)
episode:158 	| reward:0.58 	| took:2.13s 	| avrege:0.56 	| loss:(actor:-0.86, critic:0.00)
episode:159 	| reward:0.51 	| took:1.91s 	| avrege:0.56 	| loss:(actor:-1.07, critic:0.00)
episode:160 	| reward:0.41 	| took:1.54s 	| avrege:0.56 	| loss:(actor:-1.30, critic:0.00)
episode:161 	| reward:0.40 	| took:1.60s 	| avrege:0.56 	| loss:(actor:-0.93, critic:0.00)
episode:162 	| reward:0.48 	| took:1.85s 	| avrege:0.56 	| loss:(actor:-1.12, critic:0.00)
episode:163 	| reward:0.55 	| took:2.14s 	| avrege:0.57 	| loss:(actor:-0.81, critic:0.00)
episode:164 	| reward:0.59 	| took:2.45s 	| avrege:0.57 	| loss:(actor:-1.48, critic:0.00)
episode:165 	| reward:0.51 	| took:1.82s 	| avrege:0.57 	| loss:(actor:-1.04, critic:0.00)
episode:166 	| reward:0.55 	| took:1.96s 	| avrege:0.56 	| loss:(actor:-1.29, critic:0.00)
episode:167 	| reward:0.53 	| took:1.89s 	| avrege:0.56 	| loss:(actor:-1.17, critic:0.00)
episode:168 	| reward:0.40 	| took:1.68s 	| avrege:0.56 	| loss:(actor:-0.84, critic:0.00)
episode:169 	| reward:0.56 	| took:1.98s 	| avrege:0.56 	| loss:(actor:-1.41, critic:0.01)
episode:170 	| reward:0.55 	| took:1.95s 	| avrege:0.52 	| loss:(actor:-1.25, critic:0.00)
episode:171 	| reward:0.49 	| took:1.91s 	| avrege:0.51 	| loss:(actor:-1.15, critic:0.00)
episode:172 	| reward:0.52 	| took:1.89s 	| avrege:0.50 	| loss:(actor:-1.23, critic:0.00)
episode:173 	| reward:0.49 	| took:1.76s 	| avrege:0.49 	| loss:(actor:-1.30, critic:0.00)
episode:174 	| reward:0.54 	| took:1.94s 	| avrege:0.49 	| loss:(actor:-0.99, critic:0.00)
episode:175 	| reward:0.58 	| took:2.24s 	| avrege:0.48 	| loss:(actor:-1.06, critic:0.00)
episode:176 	| reward:0.51 	| took:1.98s 	| avrege:0.46 	| loss:(actor:-1.11, critic:0.00)
episode:177 	| reward:0.53 	| took:1.88s 	| avrege:0.46 	| loss:(actor:-1.23, critic:0.00)
episode:178 	| reward:0.48 	| took:1.79s 	| avrege:0.46 	| loss:(actor:-1.24, critic:0.00)
episode:179 	| reward:0.51 	| took:2.02s 	| avrege:0.46 	| loss:(actor:-1.20, critic:0.00)
episode:180 	| reward:0.48 	| took:1.78s 	| avrege:0.45 	| loss:(actor:-1.09, critic:0.00)
episode:181 	| reward:0.46 	| took:1.79s 	| avrege:0.45 	| loss:(actor:-1.08, critic:0.00)
episode:182 	| reward:0.51 	| took:1.85s 	| avrege:0.43 	| loss:(actor:-1.07, critic:0.00)
episode:183 	| reward:0.51 	| took:1.85s 	| avrege:0.43 	| loss:(actor:-1.12, critic:0.00)
episode:184 	| reward:0.59 	| took:2.08s 	| avrege:0.43 	| loss:(actor:-1.17, critic:0.00)
episode:185 	| reward:0.48 	| took:1.76s 	| avrege:0.43 	| loss:(actor:-1.36, critic:0.01)
episode:186 	| reward:0.59 	| took:2.06s 	| avrege:0.43 	| loss:(actor:-0.92, critic:0.00)
episode:187 	| reward:0.59 	| took:2.08s 	| avrege:0.43 	| loss:(actor:-0.77, critic:0.06)
episode:188 	| reward:0.44 	| took:1.73s 	| avrege:0.44 	| loss:(actor:-1.24, critic:0.00)
episode:189 	| reward:0.52 	| took:2.05s 	| avrege:0.44 	| loss:(actor:-1.01, critic:0.01)
episode:190 	| reward:0.58 	| took:2.04s 	| avrege:0.44 	| loss:(actor:-1.15, critic:0.00)
episode:191 	| reward:0.57 	| took:2.16s 	| avrege:0.44 	| loss:(actor:-1.28, critic:0.00)
episode:192 	| reward:0.43 	| took:1.70s 	| avrege:0.45 	| loss:(actor:-0.82, critic:0.00)
episode:193 	| reward:0.52 	| took:1.83s 	| avrege:0.45 	| loss:(actor:-1.12, critic:0.00)
episode:194 	| reward:0.50 	| took:1.90s 	| avrege:0.45 	| loss:(actor:-1.20, critic:0.01)
episode:195 	| reward:0.54 	| took:2.00s 	| avrege:0.45 	| loss:(actor:-0.81, critic:0.00)
episode:196 	| reward:0.47 	| took:1.72s 	| avrege:0.46 	| loss:(actor:-1.27, critic:0.00)
episode:197 	| reward:0.58 	| took:2.13s 	| avrege:0.46 	| loss:(actor:-0.94, critic:0.00)
episode:198 	| reward:0.47 	| took:1.70s 	| avrege:0.46 	| loss:(actor:-1.16, critic:0.01)
episode:199 	| reward:0.56 	| took:2.07s 	| avrege:0.46 	| loss:(actor:-0.98, critic:0.00)
episode:200 	| reward:0.57 	| took:2.37s 	| avrege:0.46 	| loss:(actor:-1.10, critic:0.00)
episode:201 	| reward:0.50 	| took:2.42s 	| avrege:0.46 	| loss:(actor:-0.86, critic:0.00)
episode:202 	| reward:0.55 	| took:2.08s 	| avrege:0.47 	| loss:(actor:-1.55, critic:0.00)
episode:203 	| reward:0.60 	| took:2.22s 	| avrege:0.47 	| loss:(actor:-1.13, critic:0.00)
episode:204 	| reward:0.39 	| took:1.62s 	| avrege:0.47 	| loss:(actor:-0.90, critic:0.00)
episode:205 	| reward:0.56 	| took:2.09s 	| avrege:0.47 	| loss:(actor:-0.94, critic:0.00)
episode:206 	| reward:0.57 	| took:2.04s 	| avrege:0.47 	| loss:(actor:-1.31, critic:0.00)
episode:207 	| reward:0.59 	| took:2.22s 	| avrege:0.48 	| loss:(actor:-1.13, critic:0.00)
episode:208 	| reward:0.39 	| took:1.55s 	| avrege:0.48 	| loss:(actor:-1.31, critic:0.00)
episode:209 	| reward:0.57 	| took:2.07s 	| avrege:0.48 	| loss:(actor:-1.21, critic:0.00)
episode:210 	| reward:0.52 	| took:1.88s 	| avrege:0.48 	| loss:(actor:-1.38, critic:0.00)
episode:211 	| reward:0.54 	| took:2.06s 	| avrege:0.48 	| loss:(actor:-1.03, critic:0.00)
episode:212 	| reward:0.55 	| took:2.03s 	| avrege:0.48 	| loss:(actor:-1.33, critic:0.00)
episode:213 	| reward:0.69 	| took:2.35s 	| avrege:0.49 	| loss:(actor:-1.06, critic:0.00)
episode:214 	| reward:0.55 	| took:2.02s 	| avrege:0.49 	| loss:(actor:-1.26, critic:0.00)
episode:215 	| reward:0.53 	| took:1.87s 	| avrege:0.49 	| loss:(actor:-1.13, critic:0.00)
episode:216 	| reward:0.57 	| took:2.04s 	| avrege:0.49 	| loss:(actor:-1.26, critic:0.00)
episode:217 	| reward:0.54 	| took:1.95s 	| avrege:0.49 	| loss:(actor:-1.18, critic:0.00)
episode:218 	| reward:0.54 	| took:1.94s 	| avrege:0.49 	| loss:(actor:-1.01, critic:0.00)
episode:219 	| reward:0.53 	| took:2.11s 	| avrege:0.49 	| loss:(actor:-1.05, critic:0.00)
episode:220 	| reward:0.63 	| took:2.32s 	| avrege:0.50 	| loss:(actor:-1.06, critic:0.00)
episode:221 	| reward:0.60 	| took:2.16s 	| avrege:0.50 	| loss:(actor:-1.12, critic:0.00)
episode:222 	| reward:0.53 	| took:2.03s 	| avrege:0.50 	| loss:(actor:-1.22, critic:0.00)
episode:223 	| reward:0.55 	| took:2.05s 	| avrege:0.50 	| loss:(actor:-1.16, critic:0.00)
episode:224 	| reward:0.55 	| took:2.01s 	| avrege:0.50 	| loss:(actor:-1.27, critic:0.00)
episode:225 	| reward:0.60 	| took:2.18s 	| avrege:0.50 	| loss:(actor:-1.04, critic:0.00)
episode:226 	| reward:0.65 	| took:2.42s 	| avrege:0.51 	| loss:(actor:-1.14, critic:0.00)
episode:227 	| reward:0.57 	| took:2.11s 	| avrege:0.51 	| loss:(actor:-0.98, critic:0.00)
episode:228 	| reward:0.59 	| took:2.31s 	| avrege:0.51 	| loss:(actor:-1.00, critic:0.00)
episode:229 	| reward:0.70 	| took:2.92s 	| avrege:0.51 	| loss:(actor:-1.31, critic:0.00)
episode:230 	| reward:0.64 	| took:2.66s 	| avrege:0.51 	| loss:(actor:-0.92, critic:0.00)
episode:231 	| reward:0.65 	| took:2.63s 	| avrege:0.52 	| loss:(actor:-1.26, critic:0.00)
episode:232 	| reward:0.58 	| took:2.34s 	| avrege:0.52 	| loss:(actor:-1.12, critic:0.00)
episode:233 	| reward:0.66 	| took:2.65s 	| avrege:0.52 	| loss:(actor:-1.13, critic:0.00)
episode:234 	| reward:0.61 	| took:2.40s 	| avrege:0.52 	| loss:(actor:-0.95, critic:0.00)
episode:235 	| reward:0.52 	| took:2.37s 	| avrege:0.52 	| loss:(actor:-1.13, critic:0.00)
episode:236 	| reward:0.56 	| took:2.25s 	| avrege:0.52 	| loss:(actor:-1.27, critic:0.00)
episode:237 	| reward:0.48 	| took:1.90s 	| avrege:0.52 	| loss:(actor:-1.10, critic:0.00)
episode:238 	| reward:0.50 	| took:1.86s 	| avrege:0.53 	| loss:(actor:-0.94, critic:0.00)
episode:239 	| reward:0.59 	| took:2.23s 	| avrege:0.53 	| loss:(actor:-1.01, critic:0.00)
episode:240 	| reward:0.63 	| took:3.32s 	| avrege:0.53 	| loss:(actor:-0.98, critic:0.01)
episode:241 	| reward:0.34 	| took:1.55s 	| avrege:0.53 	| loss:(actor:-1.31, critic:0.00)
episode:242 	| reward:0.52 	| took:2.00s 	| avrege:0.53 	| loss:(actor:-0.87, critic:0.05)
episode:243 	| reward:0.68 	| took:2.72s 	| avrege:0.53 	| loss:(actor:-1.51, critic:0.00)
episode:244 	| reward:0.55 	| took:2.34s 	| avrege:0.53 	| loss:(actor:-1.05, critic:0.00)
episode:245 	| reward:0.68 	| took:3.12s 	| avrege:0.53 	| loss:(actor:-1.03, critic:0.00)
episode:246 	| reward:0.70 	| took:3.04s 	| avrege:0.54 	| loss:(actor:-1.19, critic:0.00)
episode:247 	| reward:0.50 	| took:2.31s 	| avrege:0.54 	| loss:(actor:-1.26, critic:0.00)
episode:248 	| reward:0.59 	| took:2.44s 	| avrege:0.54 	| loss:(actor:-1.34, critic:0.00)
episode:249 	| reward:0.57 	| took:2.36s 	| avrege:0.54 	| loss:(actor:-1.22, critic:0.00)
episode:250 	| reward:0.51 	| took:2.29s 	| avrege:0.54 	| loss:(actor:-1.44, critic:0.00)
episode:251 	| reward:0.60 	| took:2.53s 	| avrege:0.54 	| loss:(actor:-1.27, critic:0.00)
episode:252 	| reward:0.66 	| took:2.73s 	| avrege:0.54 	| loss:(actor:-1.10, critic:0.00)
