episode:90 	| reward:65.01 	| took:2.40s 	| avrege:43.01 	| loss:(actor:-2.65, critic:0.07)
episode:91 	| reward:56.79 	| took:2.22s 	| avrege:43.16 	| loss:(actor:-2.66, critic:0.07)
episode:92 	| reward:58.22 	| took:2.39s 	| avrege:43.33 	| loss:(actor:-2.44, critic:0.08)
episode:93 	| reward:51.10 	| took:2.03s 	| avrege:43.41 	| loss:(actor:-2.82, critic:0.01)
episode:94 	| reward:148.44 	| took:4.93s 	| avrege:44.51 	| loss:(actor:-2.98, critic:0.10)
episode:95 	| reward:93.00 	| took:3.19s 	| avrege:45.02 	| loss:(actor:-3.01, critic:0.30)
episode:96 	| reward:68.25 	| took:2.56s 	| avrege:45.26 	| loss:(actor:-2.82, critic:0.01)
episode:97 	| reward:345.62 	| took:10.73s 	| avrege:48.32 	| loss:(actor:-2.94, critic:0.12)
episode:98 	| reward:291.95 	| took:10.48s 	| avrege:50.78 	| loss:(actor:-3.31, critic:0.01)
episode:99 	| reward:236.36 	| took:8.00s 	| avrege:52.64 	| loss:(actor:-3.59, critic:0.03)
episode:100 	| reward:179.30 	| took:6.25s 	| avrege:54.08 	| loss:(actor:-3.73, critic:0.00)
episode:101 	| reward:80.39 	| took:2.93s 	| avrege:54.46 	| loss:(actor:-3.68, critic:0.44)
episode:102 	| reward:162.91 	| took:5.60s 	| avrege:53.96 	| loss:(actor:-4.19, critic:0.28)
episode:103 	| reward:253.55 	| took:8.78s 	| avrege:53.47 	| loss:(actor:-4.32, critic:0.03)
episode:104 	| reward:766.30 	| took:43.00s 	| avrege:60.66 	| loss:(actor:-5.53, critic:0.36)
episode:105 	| reward:387.26 	| took:21.96s 	| avrege:63.70 	| loss:(actor:-5.75, critic:0.01)
episode:106 	| reward:162.01 	| took:8.81s 	| avrege:64.88 	| loss:(actor:-6.15, critic:1.21)
episode:107 	| reward:805.57 	| took:35.34s 	| avrege:72.45 	| loss:(actor:-7.27, critic:0.72)
episode:108 	| reward:113.50 	| took:6.59s 	| avrege:73.06 	| loss:(actor:-6.80, critic:0.01)
episode:109 	| reward:90.96 	| took:4.21s 	| avrege:73.56 	| loss:(actor:-7.21, critic:0.01)
episode:110 	| reward:151.92 	| took:6.27s 	| avrege:74.65 	| loss:(actor:-7.82, critic:1.70)
episode:111 	| reward:138.31 	| took:5.32s 	| avrege:75.65 	| loss:(actor:-7.59, critic:0.01)
episode:112 	| reward:133.78 	| took:6.01s 	| avrege:76.67 	| loss:(actor:-7.50, critic:0.78)
episode:113 	| reward:158.48 	| took:7.06s 	| avrege:77.93 	| loss:(actor:-7.60, critic:0.11)
episode:114 	| reward:137.28 	| took:6.78s 	| avrege:79.00 	| loss:(actor:-7.94, critic:0.87)
